Location,murrayana,lat,lon,ref1,ref2,ref3,ref4,ref5,ref6,ref7,ref8,ref9,ref10,ref11,ref12,ref13,ref14,ref15,Comments,,"""Georgia Seed Crop Reports"" Key",,,,
National park township,(probably),-39.17257904,175.4015324,https://researcharchive.lincoln.ac.nz/bitstream/handle/10182/5758/cooper_dipp%26r.pdf?sequence=3&isAllowed=n,,,,,,,,,,,,,,,,,1945,Kenderdine ,State Forest Service,,
Erua,(probably),-39.22680859,175.3961869,https://researcharchive.lincoln.ac.nz/bitstream/handle/10182/5758/cooper_dipp%26r.pdf?sequence=3&isAllowed=n,,,,,,,,,,,,,,,,,1947,Rodger,State Forest Service,State Forest Service,Evans
Raurimu,(probably),-39.12454576,175.3918284,https://researcharchive.lincoln.ac.nz/bitstream/handle/10182/5758/cooper_dipp%26r.pdf?sequence=3&isAllowed=n,,,,,,,,,,,,,,,,,,,,,
Waikune Prison,(probably),-39.21326174,175.4001628,https://researcharchive.lincoln.ac.nz/bitstream/handle/10182/5758/cooper_dipp%26r.pdf?sequence=3&isAllowed=n,,,,,,,,,,,,,,,,,,,,,
Makahu,(probably),-39.27801809,174.6823816,https://scion-portal.elsevierpure.com/en/publications/comparison-of-height-growth-of-pinus-muricata-provenances-with-p-,,,,,,,,,,,,,,,,,,,,,
Mahinapua,(probably),-42.80009025,170.9815587,https://scion-portal.elsevierpure.com/en/publications/comparison-of-height-growth-of-pinus-muricata-provenances-with-p-,,,,,,,,,,,,,,,,,,,,,
Berwick,(probably),-45.91391848,170.0716632,https://scion-portal.elsevierpure.com/en/publications/comparison-of-height-growth-of-pinus-muricata-provenances-with-p-,,,,,,,,,,,,,,,,,,,,,
Pukaki,(probably),-44.13440457,170.2353072,Hunter and Douglas 1984,Dept Land & Survey 1985,,,,,,,,,,,,,,,,,,,,
Benmore,(probably),-44.5667,170.19596,Dept Land & Survey 1985,,,,,,,,,,,,,,,"Planted 1958, 1963, 1965 (likely planted near dam), also Pinus FRI 62/1558, 63/1655, 65/1502, 654 ",,,,,,
Aviemore,(probably),-44.659959,170.360638,Dept Land & Survey 1985,,,,,,,,,,,,,,,Unspecified pine sp. But murrayana listed,,,,,,
Kirkliston Range,(probably),-44.58908,170.51004,DOC Kirkliston range conservation,Dept Land & Survey 1985,"DOC, ledgard, baker, wilding pine plan 91/92","Baker, G.C.",,,,,,,,,,,,,,,,,,
Lake Middleton,(probably),-44.281093,169.848751,Johnson 1990,,,,,,,,,,,,,,,"Planted around here, and spread onto Shelton Downs ",,,,,,
