habitat,con_sp,Species,visit,feeding
Boom,pincon,Rodent,28,27
Pasture,pincon,Rodent,0,0
Tussock,pincon,Rodent,2,2
Beech,pincon,Rodent,37,5
Boom,psemen,Rodent,17,15
Pasture,psemen,Rodent,0,0
Tussock,psemen,Rodent,2,2
Beech,psemen,Rodent,40,9
Boom,pincon,Possum,2,0
Pasture,pincon,Possum,0,0
Tussock,pincon,Possum,0,0
Beech,pincon,Possum,1,0
Boom,psemen,Possum,3,2
Pasture,psemen,Possum,0,0
Tussock,psemen,Possum,1,1
Beech,psemen,Possum,1,0
Boom,pincon,Hedgehog,2,2
Pasture,pincon,Hedgehog,0,0
Tussock,pincon,Hedgehog,0,0
Beech,pincon,Hedgehog,0,0
Boom,psemen,Hedgehog,3,3
Pasture,psemen,Hedgehog,0,0
Tussock,psemen,Hedgehog,0,0
Beech,psemen,Hedgehog,0,0
Boom,pincon,Bird,1,1
Pasture,pincon,Bird,6,0
Tussock,pincon,Bird,0,0
Beech,pincon,Bird,0,0
Boom,psemen,Bird,0,0
Pasture,psemen,Bird,6,0
Tussock,psemen,Bird,0,0
Beech,psemen,Bird,0,0
